party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
PVEM,MARIA MARCELA PEREZ FELIPE,11019,VALERIA TIRADO JARILLO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/11019
PVEM,CHRISTIAN IVAN GARCIA RAMIREZ,,HUGO GUILLERMO GOMEZ BARRERA,False,
PVEM,JULIA LINARES GOMEZ,11023,ADRIANA FLORES ARROYO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/11023
PVEM,OSCAR JIMENEZ RUBIO,11114,ARMANDO UGARTE TAPIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/11114
PVEM,VANESSA CARTHER LOPEZ,,BLANCA PATRICIA SILVA GONZALEZ,False,
MOVIMIENTO CIUDADANO,ESTHELA DAMIAN PERALTA,10419,CARMEN JULIETA MACIAS RABAGO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10419
MOVIMIENTO CIUDADANO,ALEJANDRO CHANONA BURGUETE,10421,NICOLAS ALVARADO MORALES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10421
MOVIMIENTO CIUDADANO,MARIA GABRIELA DELGADO BALLESTEROS,10423,GLORIA ANGELICA CAREAGA PEREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10423
MOVIMIENTO CIUDADANO,JOSE OCTAVIO RIVERO VILLASEÑOR,10425,JESUS BENJAMIN CARDENAS GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10425
MOVIMIENTO CIUDADANO,PERLA YADIRA ESCALANTE DOMINGUEZ,10473,ERICKA CRISTINA PEREZ CAMPOS,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10473
MOVIMIENTO CIUDADANO,RAFAEL OCHOA VALDIVIA,10445,FERNANDO ORTIZ CERVANTES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10445
MOVIMIENTO CIUDADANO,MARIA TERESA DE JESUS MANZANARES CRUZ,10427,LORENA GARCIA ALONSO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10427
MOVIMIENTO CIUDADANO,ROMAN DIAZ VAZQUEZ,10435,JONATHAN ISRAEL SANCHEZ MARTINEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10435
MOVIMIENTO CIUDADANO,MARIANA IVONNE BRETON HERNANDEZ,10447,DANIELA NITZA GARDUÑO ALVARADO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10447
MOVIMIENTO CIUDADANO,RICARDO ACOSTA ROSALES,10463,IGNACIO RODRIGUEZ GONZALEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10463
MOVIMIENTO CIUDADANO,HILDA ELIZABETH AGUILAR GONZALEZ,10449,DENISE LIZBETH NAVA REYES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10449
